ID_SOCIEDAD,ID_SEGMENTO,SEGMENTO2,ID_LINEA_PRODUCTO_AGREG,ID_AGRUP_PRODUCTO,ID_AGRUP_PROD,ID_AGRUP_CANAL,ID_ZONA,Año,ID_MES,Fecha_Mes,Altas M,Altas_Mes_C+T,Altas_Mes_Tra,Bajas M,Bajas_Mes_C+T,Bajas_Mes_Tra,Neto M,Cartera_Acu
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2019,201912,31/12/19 00:00,4,4,0,-1,-1,0,3,131
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2019,201912,31/12/19 00:00,4,4,0,-3,-3,0,1,630
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA01,2019,201912,31/12/19 00:00,3,3,0,-163,-163,0,-160,20503
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2019,201912,31/12/19 00:00,18,18,0,-73,-73,0,-55,4167
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2019,201912,31/12/19 00:00,0,0,0,-2,-2,0,-2,175
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2019,201912,31/12/19 00:00,5,5,0,-2,-2,0,3,216
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA02,2019,201912,31/12/19 00:00,7,7,0,-11,-11,0,-4,922
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA02,2019,201912,31/12/19 00:00,0,0,0,-180,-180,0,-180,19106
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2019,201912,31/12/19 00:00,15,15,0,-63,-63,0,-48,3476
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2019,201912,31/12/19 00:00,2,2,0,-4,-4,0,-2,229
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2019,201912,31/12/19 00:00,2,2,0,-1,-1,0,1,74
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2019,201912,31/12/19 00:00,2,2,0,-7,-7,0,-5,585
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2019,201912,31/12/19 00:00,0,0,0,-98,-98,0,-98,13781
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2019,201912,31/12/19 00:00,2,2,0,-49,-49,0,-47,2244
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2019,201912,31/12/19 00:00,1,1,0,0,0,0,1,82
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202001,31/1/20 00:00,2,2,0,-2,-2,0,0,0
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2020,202001,31/1/20 00:00,18,18,0,-8,-8,0,10,10
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA01,2020,202001,31/1/20 00:00,4,4,0,-206,-206,0,-202,-202
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2020,202001,31/1/20 00:00,12,12,0,-84,-84,0,-72,-72
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2020,202001,31/1/20 00:00,6,6,0,-4,-4,0,2,2
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2020,202001,31/1/20 00:00,4,4,0,-1,-1,0,3,3
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA02,2020,202001,31/1/20 00:00,13,13,0,-13,-13,0,0,0
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2020,202001,31/1/20 00:00,6,6,0,-58,-58,0,-52,-52
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2020,202001,31/1/20 00:00,7,7,0,-4,-4,0,3,3
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2020,202001,31/1/20 00:00,2,2,0,0,0,0,2,2
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2020,202001,31/1/20 00:00,6,6,0,-19,-19,0,-13,-13
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2020,202001,31/1/20 00:00,5,5,0,-168,-168,0,-163,-163
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2020,202001,31/1/20 00:00,5,5,0,-48,-48,0,-43,-43
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2020,202001,31/1/20 00:00,0,0,0,-2,-2,0,-2,-2
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202002,29/2/20 00:00,5,5,0,-3,-3,0,2,2
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2020,202002,29/2/20 00:00,10,10,0,-13,-13,0,-3,-3
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2020,202002,29/2/20 00:00,18,18,0,-81,-81,0,-63,-63
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2020,202002,29/2/20 00:00,1,1,0,-6,-6,0,-5,-5
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2020,202002,29/2/20 00:00,3,3,0,-1,-1,0,2,2
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA02,2020,202002,29/2/20 00:00,21,21,0,-15,-15,0,6,6
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2020,202002,29/2/20 00:00,2,2,0,-94,-94,0,-92,-92
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2020,202002,29/2/20 00:00,3,3,0,-5,-5,0,-2,-2
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2020,202002,29/2/20 00:00,1,1,0,-3,-3,0,-2,-2
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2020,202002,29/2/20 00:00,13,13,0,-10,-10,0,3,3
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2020,202002,29/2/20 00:00,2,2,0,-200,-200,0,-198,-198
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2020,202002,29/2/20 00:00,8,8,0,-53,-53,0,-45,-45
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2020,202002,29/2/20 00:00,0,0,0,-2,-2,0,-2,-2
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202003,31/3/20 00:00,1,1,0,0,0,0,1,1
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2020,202003,31/3/20 00:00,9,9,0,-10,-10,0,-1,-1
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA01,2020,202003,31/3/20 00:00,2,2,0,-192,-192,0,-190,-190
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2020,202003,31/3/20 00:00,13,13,0,-83,-83,0,-70,-70
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2020,202003,31/3/20 00:00,0,0,0,-4,-4,0,-4,-4
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2020,202003,31/3/20 00:00,3,3,0,-3,-3,0,0,0
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2020,202003,31/3/20 00:00,4,4,0,-68,-68,0,-64,-64
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2020,202003,31/3/20 00:00,1,1,0,-6,-6,0,-5,-5
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2020,202003,31/3/20 00:00,3,3,0,-1,-1,0,2,2
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2020,202003,31/3/20 00:00,8,8,0,-7,-7,0,1,1
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2020,202003,31/3/20 00:00,1,1,0,-140,-140,0,-139,-139
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2020,202003,31/3/20 00:00,2,2,0,-48,-48,0,-46,-46
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2020,202003,31/3/20 00:00,0,0,0,-4,-4,0,-4,-4
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202004,30/4/20 00:00,0,0,0,0,0,0,0,0
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2020,202004,30/4/20 00:00,14,14,0,-12,-12,0,2,2
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA01,2020,202004,30/4/20 00:00,0,0,0,-156,-156,0,-156,-156
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2020,202004,30/4/20 00:00,11,11,0,-70,-70,0,-59,-59
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2020,202004,30/4/20 00:00,0,0,0,-3,-3,0,-3,-3
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2020,202004,30/4/20 00:00,0,0,0,0,0,0,0,0
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA02,2020,202004,30/4/20 00:00,16,16,0,-10,-10,0,6,6
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2020,202004,30/4/20 00:00,3,3,0,-61,-61,0,-58,-58
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2020,202004,30/4/20 00:00,6,6,0,-6,-6,0,0,0
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2020,202004,30/4/20 00:00,1,1,0,0,0,0,1,1
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2020,202004,30/4/20 00:00,9,9,0,-8,-8,0,1,1
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2020,202004,30/4/20 00:00,1,1,0,-102,-102,0,-101,-101
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2020,202004,30/4/20 00:00,1,1,0,-42,-42,0,-41,-41
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2020,202004,30/4/20 00:00,0,0,0,-2,-2,0,-2,-2
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202005,31/5/20 00:00,0,0,0,-2,-2,0,-2,-2
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2020,202005,31/5/20 00:00,8,8,0,-11,-11,0,-3,-3
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA01,2020,202005,31/5/20 00:00,0,0,0,-178,-178,0,-178,-178
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2020,202005,31/5/20 00:00,13,13,0,-57,-57,0,-44,-44
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2020,202005,31/5/20 00:00,3,3,0,-2,-2,0,1,1
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2020,202005,31/5/20 00:00,0,0,0,-1,-1,0,-1,-1
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA02,2020,202005,31/5/20 00:00,30,29,1,-19,-19,0,11,11
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA02,2020,202005,31/5/20 00:00,1,1,0,-156,-156,0,-155,-155
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2020,202005,31/5/20 00:00,4,4,0,-56,-56,0,-52,-52
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2020,202005,31/5/20 00:00,2,2,0,-9,-9,0,-7,-7
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2020,202005,31/5/20 00:00,0,0,0,0,0,0,0,0
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2020,202005,31/5/20 00:00,10,10,0,-12,-12,0,-2,-2
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2020,202005,31/5/20 00:00,2,2,0,-122,-122,0,-120,-120
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2020,202005,31/5/20 00:00,2,2,0,-40,-40,0,-38,-38
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2020,202005,31/5/20 00:00,1,1,0,-2,-2,0,-1,-1
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202006,30/6/20 00:00,0,0,0,0,0,0,0,0
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2020,202006,30/6/20 00:00,8,8,0,-9,-9,0,-1,-1
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA01,2020,202006,30/6/20 00:00,3,3,0,-168,-168,0,-165,-165
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2020,202006,30/6/20 00:00,6,6,0,-61,-61,0,-55,-55
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2020,202006,30/6/20 00:00,0,0,0,-4,-4,0,-4,-4
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2020,202006,30/6/20 00:00,1,1,0,-1,-1,0,0,0
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA02,2020,202006,30/6/20 00:00,9,9,0,-10,-10,0,-1,-1
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2020,202006,30/6/20 00:00,6,6,0,-45,-45,0,-39,-39
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2020,202006,30/6/20 00:00,2,2,0,-3,-3,0,-1,-1
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2020,202006,30/6/20 00:00,5,5,0,-1,-1,0,4,4
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2020,202006,30/6/20 00:00,11,11,0,-10,-10,0,1,1
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2020,202006,30/6/20 00:00,0,0,0,-128,-128,0,-128,-128
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2020,202006,30/6/20 00:00,3,3,0,-37,-37,0,-34,-34
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2020,202006,30/6/20 00:00,3,3,0,0,0,0,3,3
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202007,31/7/20 00:00,1,1,0,-1,-1,0,0,0
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2020,202007,31/7/20 00:00,10,10,0,-15,-15,0,-5,-5
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2020,202007,31/7/20 00:00,7,7,0,-89,-89,0,-82,-82
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2020,202007,31/7/20 00:00,1,1,0,-3,-3,0,-2,-2
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2020,202007,31/7/20 00:00,3,3,0,-1,-1,0,2,2
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA02,2020,202007,31/7/20 00:00,9,9,0,-11,-11,0,-2,-2
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2020,202007,31/7/20 00:00,7,7,0,-62,-62,0,-55,-55
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2020,202007,31/7/20 00:00,3,3,0,-5,-5,0,-2,-2
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2020,202007,31/7/20 00:00,6,6,0,-2,-2,0,4,4
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2020,202007,31/7/20 00:00,21,21,0,-19,-19,0,2,2
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2020,202007,31/7/20 00:00,0,0,0,-177,-177,0,-177,-177
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2020,202007,31/7/20 00:00,2,2,0,-46,-46,0,-44,-44
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2020,202007,31/7/20 00:00,2,2,0,-2,-2,0,0,0
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202008,31/8/20 00:00,1,1,0,-1,-1,0,0,0
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA01,2020,202008,31/8/20 00:00,10,10,0,-8,-8,0,2,2
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA01,2020,202008,31/8/20 00:00,5,5,0,-45,-45,0,-40,-40
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA01,2020,202008,31/8/20 00:00,1,1,0,-4,-4,0,-3,-3
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA02,2020,202008,31/8/20 00:00,2,2,0,0,0,0,2,2
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA02,2020,202008,31/8/20 00:00,3,3,0,-36,-36,0,-33,-33
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA02,2020,202008,31/8/20 00:00,0,0,0,-44,-44,0,-44,-44
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA02,2020,202008,31/8/20 00:00,1,1,0,-2,-2,0,-1,-1
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA03,2020,202008,31/8/20 00:00,3,3,0,0,0,0,3,3
SOC02,SEG01,LP01,1,1,PROD02,1,ZONA03,2020,202008,31/8/20 00:00,12,12,0,-10,-10,0,2,2
SOC02,SEG01,LP01,1,1,PROD09,1,ZONA03,2020,202008,31/8/20 00:00,1,1,0,-114,-114,0,-113,-113
SOC02,SEG02,LP01,1,1,PROD02,1,ZONA03,2020,202008,31/8/20 00:00,1,1,0,-22,-22,0,-21,-21
SOC02,SEG02,LP01,1,1,PROD04,1,ZONA03,2020,202008,31/8/20 00:00,3,3,0,-3,-3,0,0,0
SOC01,SEG01,LP01,1,1,PROD12,1,ZONA01,2020,202009,30/9/20 00:00,2,2,0,-1,-1,0,1,1
