ID_SEMANA;ID_ANYO;ID_SEMANA_ANTERIOR;ID_SEMANA_ANYO_ANTERIOR;DES_SEMANA;DES_CORTA_SEMANA;DES_SEMANA_FECHA;ID_MES
201901;2019;201852;201801;Sem. 01 29/12/2018-04/01/2019;01;29/12/2018-04/01/2019;201901
201902;2019;201901;201802;Sem. 02 05/01/2019-11/01/2019;02;05/01/2019-11/01/2019;201901
201903;2019;201902;201803;Sem. 03 12/01/2019-18/01/2019;03;12/01/2019-18/01/2019;201901
201904;2019;201903;201804;Sem. 04 19/01/2019-25/01/2019;04;19/01/2019-25/01/2019;201901
201905;2019;201904;201805;Sem. 05 26/01/2019-01/02/2019;05;26/01/2019-01/02/2019;201901
201906;2019;201905;201806;Sem. 06 02/02/2019-08/02/2019;06;02/02/2019-08/02/2019;201902
201907;2019;201906;201807;Sem. 07 09/02/2019-15/02/2019;07;09/02/2019-15/02/2019;201902
201908;2019;201907;201808;Sem. 08 16/02/2019-22/02/2019;08;16/02/2019-22/02/2019;201902
201909;2019;201908;201809;Sem. 09 23/02/2019-01/03/2019;09;23/02/2019-01/03/2019;201902
201910;2019;201909;201810;Sem. 10 02/03/2019-08/03/2019;10;02/03/2019-08/03/2019;201903
201911;2019;201910;201811;Sem. 11 09/03/2019-15/03/2019;11;09/03/2019-15/03/2019;201903
201912;2019;201911;201812;Sem. 12 16/03/2019-22/03/2019;12;16/03/2019-22/03/2019;201903
201913;2019;201912;201813;Sem. 13 23/03/2019-29/03/2019;13;23/03/2019-29/03/2019;201903
201914;2019;201913;201814;Sem. 14 30/03/2019-05/04/2019;14;30/03/2019-05/04/2019;201904
201915;2019;201914;201815;Sem. 15 06/04/2019-12/04/2019;15;06/04/2019-12/04/2019;201904
201916;2019;201915;201816;Sem. 16 13/04/2019-19/04/2019;16;13/04/2019-19/04/2019;201904
201917;2019;201916;201817;Sem. 17 20/04/2019-26/04/2019;17;20/04/2019-26/04/2019;201904
201918;2019;201917;201818;Sem. 18 27/04/2019-03/05/2019;18;27/04/2019-03/05/2019;201905
201919;2019;201918;201819;Sem. 19 04/05/2019-10/05/2019;19;04/05/2019-10/05/2019;201905
201920;2019;201919;201820;Sem. 20 11/05/2019-17/05/2019;20;11/05/2019-17/05/2019;201905
201921;2019;201920;201821;Sem. 21 18/05/2019-24/05/2019;21;18/05/2019-24/05/2019;201905
201922;2019;201921;201822;Sem. 22 25/05/2019-31/05/2019;22;25/05/2019-31/05/2019;201905
201923;2019;201922;201823;Sem. 23 01/06/2019-07/06/2019;23;01/06/2019-07/06/2019;201906
201924;2019;201923;201824;Sem. 24 08/06/2019-14/06/2019;24;08/06/2019-14/06/2019;201906
201925;2019;201924;201825;Sem. 25 15/06/2019-21/06/2019;25;15/06/2019-21/06/2019;201906
201926;2019;201925;201826;Sem. 26 22/06/2019-28/06/2019;26;22/06/2019-28/06/2019;201906
201927;2019;201926;201827;Sem. 27 29/06/2019-05/07/2019;27;29/06/2019-05/07/2019;201907
201928;2019;201927;201828;Sem. 28 06/07/2019-12/07/2019;28;06/07/2019-12/07/2019;201907
201929;2019;201928;201829;Sem. 29 13/07/2019-19/07/2019;29;13/07/2019-19/07/2019;201907
201930;2019;201929;201830;Sem. 30 20/07/2019-26/07/2019;30;20/07/2019-26/07/2019;201907
201931;2019;201930;201831;Sem. 31 27/07/2019-02/08/2019;31;27/07/2019-02/08/2019;201907
201932;2019;201931;201832;Sem. 32 03/08/2019-09/08/2019;32;03/08/2019-09/08/2019;201908
201933;2019;201932;201833;Sem. 33 10/08/2019-16/08/2019;33;10/08/2019-16/08/2019;201908
201934;2019;201933;201834;Sem. 34 17/08/2019-23/08/2019;34;17/08/2019-23/08/2019;201908
201935;2019;201934;201835;Sem. 35 24/08/2019-30/08/2019;35;24/08/2019-30/08/2019;201908
201936;2019;201935;201836;Sem. 36 31/08/2019-06/09/2019;36;31/08/2019-06/09/2019;201909
201937;2019;201936;201837;Sem. 37 07/09/2019-13/09/2019;37;07/09/2019-13/09/2019;201909
201938;2019;201937;201838;Sem. 38 14/09/2019-20/09/2019;38;14/09/2019-20/09/2019;201909
201939;2019;201938;201839;Sem. 39 21/09/2019-27/09/2019;39;21/09/2019-27/09/2019;201909
